,Document,Category,T1,T2,T3,T4,T5,T6
402,"Research Summary: Open Innovation is about firms harnessing knowledge flows across firm boundaries, but limited research has examined the nature and antecedents of these flows for start-up firms, as well as the interdependence of inbound and outbound flows. From a new sample of start-up firms making 3D printers, we show how their degree of openness for inbound and outbound knowledge flows relates to the firms’ initial capabilities and founding intentions. From this, we suggest that the patterns of openness are influenced more by initial factor endowments than a firm-specific process of emergent strategy development. Managerial Summary: Innovative firms often face trade-offs between open and proprietary strategies, particularly in industries and segments where online communities and other collaborations provide a pool of shared knowledge for the entire industry. This study illuminates these trade-offs by comparing the choices made by the founders of 3D printer manufacturers. For products based on modular systems, it shows the range of choices that firms have on their degree of inbound openness (using external technology) and outbound openness (sharing their own technology)—as well as the interdependencies of these choices. Finally, it points to long-term implications of early entrepreneurial decisions: firms that leverage external technology can enter markets more quickly, but their innovation options will be limited unless they have capabilities for proprietary innovation.  ",Social Sciences & Humanities,0.061,0.103,-0.016,0.023,0.068,0.011
403,"Researchers have identified Open Innovation as two dimensions, external technology acquisition and external technology exploitation. This study explores the direct and interactive effects of these two dimensions on firm performance and further examines the moderation effects of two factors (i.e., internal R&D and environmental turbulence) on the relationship between both types of Open Innovation and firm performance. Based on Chesbrough's Open Innovation model, multi-item scales were developed to measure two dimensions of firm-level Open Innovation. Survey results of 176 Taiwanese high tech manufacturing firms provide support for most hypotheses. The result shows that external technology acquisition positively affects firm performance, whereas external technology exploitation does not. This study also finds that external technology acquisition strengthens the relationship between external technology exploitation and firm performance. Both external technology acquisition and external technology exploitation are positively related to firm performance under high internal R&D investment and a turbulent market environment. However, technological turbulence only positively affects the relationship between external technological acquisition, but not external technology exploitation, and firm performance. The findings contribute to enhanced understanding of how the degree of leveraging Open Innovation dimensions depends on their complementarity, internal R&D, and environmental turbulence. ",Social Sciences & Humanities,0.076,0.165,-0.008,-0.051,-0.06,0.179
404,"Researchers have used several constructs to explain the success and failure of organizations’ Open Innovation initiatives. Building upon the resource-based view of the firm, we develop a model to explain how leadership interacts with absorptive capacity and organizational learning culture to influence Open Innovation outcomes. The model is tested empirically using data sourced from managers working in diverse sectors in India. Results reveal that empowering leadership leads to enhanced Open Innovation outcomes through the intervention of organizational learning culture. Results, however, do not confirm a significant impact of the interaction of organizational culture and absorptive capacity on Open Innovation. A discussion of these findings along with implications for theory and practice is presented. ",Social Sciences & Humanities,0.019,-0.003,-0.001,-0.006,-0.01,-0.015
405,"Scholars and practitioners have recently shifted their attention from traditional closed internal innovation to Open Innovation. Building on both the resource-based view and the network perspective, we explore the roles of three types of informal ties (i.e., business, government, and university) in driving inbound and outbound OI, and further examine such effects contingent on market dynamism. Empirical results from our study of 260 Chinese firms show that all three types of informal ties positively affect inbound innovation openness, whereas only business ties facilitate outbound innovation openness. In addition, market dynamism strengthens the relationship between university ties and inbound innovation openness, but weakens the effect of business ties on inbound innovation openness. These findings indicate the salience of informal ties in increasing innovation openness and the contingent role of external market conditions. The findings contribute to the understanding of the drivers of innovation openness, and help clarify the differences between inbound and outbound OI. ",Social Sciences & Humanities,0.029,0.004,0.024,-0.014,-0.023,-0.003
406,"Scholars have recently highlighted the promise of Open Innovation. In this paper, we treat Open Innovation - in it's different forms and manifestations - as well as internal or closed innovation, as unique governance forms with different benefits and costs. We discuss how each governance form, whether open or closed, is composed of a set of instruments that access (a) different types of communication channels for knowledge sharing, (b) different types of incentives, and (c) different types of property rights for appropriating value from innovation. We focus on the innovation ""problem"" as the central unit of analysis, arguing for a match between problem types and governance forms, which vary from open to closed and which support alternative forms of solution search. In all, the goal of this paper is to provide a comparative framework for managing innovation, where we delineate and discuss four categories of Open Innovation governance forms (markets, partnerships, contests and tournaments and user or community innovation) and compare them with each other and with two internal or closed forms of innovation governance (authority and consensus-based hierarchy). ",Social Sciences & Humanities,0.018,-0.015,-0.017,0.009,0.008,-0.007
407,"Scholars have yet to address why and how Open Innovation model can be applied effectively within industries while diminishing its potential cost and challenges. In this paper, we extend Open Innovation model both theoretically and practically by identifying a) the boundary conditions that motivate firms within resource-based industries to apply the model and b) the approaches that have been implemented in practice in applying the model. In this multiple-case study, we explore why and how firms within the upstream Canadian oil industry have evolved to apply Open Innovation model over time to deal with the industry's challenges. First, our findings show that institutional forces, both normative and coercive—such as social and environmental pressures, were the primary drivers for adopting Open Innovation. Second, by building on the taxonomy of meta-organizations, we demonstrate that an industry-founded and not-for-profit innovation intermediary, as a meta-organization, is a necessary tool to address problems of adopting Open Innovation. We argue that the experiments of the upstream oil industry to develop a suitable organizational design for such innovation intermediaries suggest that a moderate level of stratification accompanying either close or open membership is the most suitable design. The findings from this study can be helpful to other industries, particularly other resource- based industries, which seek to effectively employ the Open Innovation model through innovation intermediaries. ",Social Sciences & Humanities,0.036,-0.012,-0.029,-0.042,0.034,-0.023
408,"Science and policy increasingly request for sustainable development and growth. Similarly, Digital Earth undergoes a paradigm shift to an open platform that actively supports user engagement. While the public becomes able to contribute new content, we recognize a gap in user-driven validation, feedback and requirements capture, and innovative application development. Rather than defining Digital Earth applications top down, we see a need for methods and tools that will help building applications bottom up and driven by community needs. These should include a technology toolbox of geospatial and environmental enablers, which allow to access functional building blocks and content in multiple ways, but - equally important - enable the collaboration within partially unknown stakeholder networks. The validation and testing in real-life scenarios will be a central requirement when approaching the Digital Earth 2020 goals, which were articulated recently. We particularly argue to follow a Living Lab approach for co-creation and awareness rising in relation to environmental and geospatial matters. We explain why and how such a Digital Earth Living Lab could lead to a sustainable approach for developing, deploying, and using Digital Earth applications and suggest a paradigm shift for Virtual Globes becoming forums for research and innovation. ",Social Sciences & Humanities,0.017,-0.021,-0.022,-0.019,0.027,0.015
409,"Search for external knowledge is vital for firms' innovative activities. To understand search, we propose two knowledge search dimensions: search space (local or distant) and search heuristics (experiential or cognitive). Combining these two dimensions, we distinguish four search paths - situated paths, analogical paths, sophisticated paths, and scientific paths - which respond to recent calls to move beyond ""where to search"" and to investigate the connection with ""how to search."" Also, we highlight how the mechanisms of problem framing and boundary spanning operate within each search path to identify solutions to technology problems. We report on a study of 18 Open Innovation projects that used an innovation intermediary, and outline the characteristics of each search path. Exploration of these search paths enriches previous studies of search in Open Innovation by providing a comprehensive, but structured, framework that explains search, its underlying mechanisms, and potential outcomes. ",Social Sciences & Humanities,0.023,0.018,-0.017,0.032,-0.006,0.008
410,"Sensor networks are an essential tool for environmental scientists. As scientists and engineers are beginning to utilize these new methods and devices in their fieldwork, they need to be actively involved in the future of sensor-networking development. Continued sensor network innovation is important for improved standardization, affordability, and interoperability. This article uses a storm water case study to outline an end-to-end open-innovation sensor network. Open Innovation by scientists, engineers, and entities is the collaborative process of creating value for this project in permeable paver runoff data and advances within sensor networking. This article focuses on the technical implementation of the near–real-time location and temporally aware sensor network. Data are streamed in near–real-time with subliter precision to the cloud using common off-the-shelf routers. The sensors use Maxim's 1-wire™ protocol, and the unique digital serial numbers confirm the data. The data retrieved compare residence times within the permeable paver catchment basins and the control basin. Sensor network advances are made by bridging the gap between sensor protocols and communication systems. These advances enable the development of open-source representational state transfer web services. Our successful implementation serves as an example for others to study and expand upon for a variety of monitoring solutions. ",Social Sciences & Humanities,0.021,-0.019,-0.021,-0.022,0.008,-0.015
411,"Since Klaus Schwab and the World Economic Forum declared the arrival of the Fourth Industrial Revolution, there has been much discussion about it. However, there is no commonly agreed-upon definition of the Fourth Industrial Revolution. Therefore, we attempted to answer the following four research questions. ""What is the definition of the Fourth Industrial Revolution?"", ""How can we respond to the Fourth Industrial Revolution in terms of institutions?"", ""How can we respond to the Fourth Industrial Revolution in terms of technology?"", ""How can we respond to the Fourth Industrial Revolution in terms of firm innovation and start-up strategy?"" Brainstorming was conducted by 11 scholars from several countries to answer these four research questions. Therefore, this research is not the end product of four research questions, but a kind of advanced template to answer the four research questions for continuing research. ",Social Sciences & Humanities,0.021,-0.012,-0.019,-0.02,0.022,0.006
412,"Since the 1990s, external technology commercialization (ETC) has become increasingly relevant in business management practice and the academic literature. Frequently, ETC is praised as highly important and is often even considered an important competence of a progressive firm. To date, research has mainly focused on the opportunities and advantages of ETC, while risks and costs tend to be ignored or downplayed. This paper aims to review ETC critically. We stress that ETC might not only cause operating costs but also requires additional human resources. From a strategic perspective, we propose that ETC may result in the loss of competitive advantages through the disclosure of internal knowledge (or areas the firm is working in) or through the suboptimal allocation of R&D resources, and thereby affects a firm’s performance negatively. Finally, we propose specific implications for management and research on when and how often companies should practice ETC, and illustrate related practical experience by a case study. We thereby propose an inversely U-shaped relationship between ETC’s intensity and the firm’s profit contribution. ",Social Sciences & Humanities,0.039,0.033,-0.007,-0.006,0.019,-0.016
413,"Small and medium enterprise (SME) Open Innovation has received attention only for new product development, overlooking the fact that process innovation is a strategy commonly pursued by SMEs which requires organizing search strategies or external knowledge sourcing for that purpose. Focusing on 3,348 process-oriented innovative SMEs, defined as those that usually and primarily only introduce process rather than product innovation, this study empirically identifies key external sources of SME innovation for process technologies, linking Open Innovation to SME performance, and highlighting a very important distinction to literature focused on product development. The results contribute to the literature on SME Open Innovation. ",Social Sciences & Humanities,0.025,-0.005,-0.02,-0.003,-0.007,0.035
414,"Small and medium enterprises (SMEs) have played an important role in economic development. The increasing number of SMEs have resulted in the business landscape to become more and more competitive. This has made SMEs to also undergo great challenges to be able to maintain their existence and expand their businesses. It is argued that the enterprise resource planning system (ERPs) can improve business performance. Therefore, the primary purpose of this study is to examine the impact of an ERPs usage on the financial and non-financial performance of the Saudi SMEs. An exploratory study has been used to identify the factors contributing to the effective and successful use of an ERP system. The findings indicate seven contingency factors. Based on the exploratory study results, three hypotheses have been developed and tested in a quantitative study. A survey is constructed and sent to 200 Saudi SMEs that adopted the ERP systems. About 120 valid responses have been received. For data analysis and hypothesis testing, a structural equation modelling (SEM) tool has been adopted. The results depict that management support, user satisfaction, and training significantly impact the ERPs usage. Another significant finding is that ERP systems enhance SMEs' performance. ",Social Sciences & Humanities,0.037,-0.022,-0.002,-0.044,-0.082,-0.016
415,"Small- and medium-sized enterprises (SMEs) face the inherent tension of depending on external partners to complement their internal innovation activities while having limited resources to manage such Open Innovation processes. Given the importance of collaborative efforts between multiple stakeholders, we address the Open Innovation challenges from the SME perspective at the business-ecosystem level. We present an inductive case study of a particular regional ecosystem and focus on the inter-organizational collaboration between SMEs and other stakeholders in the ecosystem. With this focus, we explore how SMEs perceive, organize, and manage Open Innovation through strong collaborative ties with other ecosystem members. We identify a particular set of challenges for the SMEs due to the misalignment between their business model and that of their ecosystem. Specific findings include the link between innovation type expressed by diverging understandings of the notion of innovation across the ecosystem and the innovation form (here, Open Innovation), which should be organized and managed on multiple levels of analysis (SME, inter-organizational, and ecosystem). These findings highlight specific attention points for managing and developing Open Innovation in a regional business ecosystem, and they contribute both to the business-ecosystem literature as well as Open Innovation literature. ",Social Sciences & Humanities,0.025,-0.022,-0.018,-0.023,0.0,-0.012
416,"Small- and medium-sized enterprises (SMEs) largely depend on proficient idea generation activities to improve their front-end innovation performance, yet the liabilities of newness and smallness often hamper SMEs' ability to benefit from systematic idea generation. To compensate for these liabilities, many SMEs adopt an Open Innovation approach by collaborating with market-based partners such as customers and suppliers. This study investigates the relationship between SMEs' systematic idea generation and front-end performance and investigates the moderating role of market-based partnership for SMEs. Drawing on a survey of 146 Swedish manufacturing SMEs, this study provides two key contributions. First, the systematic idea generation and front-end performance relationship in SMEs is non-linear. Accordingly, higher levels of front-end performance are achieved when idea generation activities are highly systematic. Second, the returns from higher levels of systematic idea generation are positively moderated by market-based partnerships. Thus, external cooperation with customers and suppliers pays off most toward front-end performance when SMEs have highly systematic idea generation processes. These results indicate a contingency perspective on the role of external partnerships. They also have implications for research into the front-end of innovation and Open Innovation in the context of SMEs. ",Social Sciences & Humanities,0.04,-0.006,-0.001,-0.038,-0.117,-0.017
417,"SME inbound Open Innovation has primarily received attention for new product development, overlooking the fact that SMEs may also pursue process or, simultaneously, product and process innovation. We posit that different technological innovation typologies (product vs process) are related to distinct search strategies. Focusing on 3,867 innovative SMEs, results indicate that inbound Open Innovation is not only related to internal resources of innovation but also to the type of technological innovation chosen by firms. Our results disentangle a rather more complex and comprehensive view of SME inbound Open Innovation that prevents the fragmentation of results. It is not just about being more or less innovative, but about how SMEs innovate differently, developing distinct internal and external activities. ",Social Sciences & Humanities,0.023,0.009,-0.009,-0.017,-0.005,0.002
418,"Social business is an emerging concept which requires additional research especially in terms of priority management tools that can be used. The paper aims to evaluate how closed and Open Innovation concepts are implemented by social enterprises in the emerging information economy. The paper also studies social enterprises from the point of view of joint efficiency and innovation development concept evaluation to define best practices used by social entrepreneurs nowadays. The paper provides comparative analysis of two types of social business models: the ones based on Open Innovation and the ones based on formal closed innovative process. Research question is to estimate how implementation of Open Innovation influences social businesses' outcomes, and to define the way Open Innovation influences social enterprises' efficiency. ",Social Sciences & Humanities,0.029,-0.041,-0.03,-0.027,-0.001,-0.041
419,"Societies face difficult challenges which require responses that go beyond the innovation capability of most public sector organisations. Open approaches to public sector innovation that exploits digital technologies have been proposed for some years to close this gap, but our knowledge of the use and outcome of using Open Innovation in this context is limited. This research takes stock of the study and use of these approaches by investigating the purposes for which public sector organisations use Open Innovation, and how it creates value. The research question is answered through a systematic literature review and an analysis of publicly available data about the Open Innovation projects referred to in that literature. The research identifies five different purposes of using Open Innovation. It also suggests that public sector organisations primarily use Open Innovation to pursue one specific purpose: innovation in society. When using Open Innovation for this purpose, public sector organisations attempt to create value by improving citizens' quality of life and the quality of neighbourhoods. They do this primarily by co-specialising IT and other resources in society (e.g. the transportation system) and by using the outcome of this co-specialisation process to change citizen behaviour, capabilities and experiences (e.g. encouraging citizens to use the transportation system more efficiently or making citizens feel more safe when using the transportation system). This research indicates that Open Innovation is generally not used to open up public sector organisations or to give citizens more influence in public sector or democratic processes. The research also indicates that Open Innovation, until now, has primarily been used to solve minor problems, and not large scale wicked problems in society. The research suggests a framework for value creation from Open Innovation initiatives that pursues innovation in society. This framework might help public sector organisations increase value creation and solve wicked problems using Open Innovation, and might help researchers to focus future Open Innovation research on essential knowledge gaps. ",Social Sciences & Humanities,0.054,-0.082,-0.056,-0.006,0.022,-0.02
420,"Striving for competitive advantage pushes firms to innovate at a high speed along innovation contingencies and resource limitations they face. Yet, little is known about how management of contingencies such as absorptive capacity or technology radicalness can impact the innovation speed of firms. In this explorative study, we provide new empirical evidence to the innovation speed literature. We examine to what extent innovation speed is affected by organisational, technological, and relational contingencies that preoccupy firms with Open Innovation practices. Taking the firm perspective, we track innovation timeline and emphasise the complex trade-offs that firms encounter while innovating. Our results show that many of the contingencies, emphasised by the literature promoting innovation, could slow down its speed. Thus, strengthening competitiveness by accommodating contingencies can hinder time-critical adaptations. Furthermore, we find that innovation assets and capabilities can become liabilities for technologically innovative firms. ",Social Sciences & Humanities,0.03,0.069,0.011,-0.011,0.04,-0.03
421,"Student retention has emerged as a significant and expensive challenge for higher education institutes worldwide. Although several studies have been conducted on increasing student numbers and diversity in higher education institutes, studies on the relationship between student retention and entry grades are limited, particularly in the UK. The aim of this paper was to examine the relationship between entry grades and student attrition in the context of higher education in the UK. A quantitative methodology was used in this study, wherein data were derived from secondary sources, including University and Colleges Admissions Service (UCAS) tariff points and full-and part-time undergraduate student enrolment between 2012 and 2017. The data were extracted and analyzed using Higher Education Statistics Agency (HESA) performance indicators. The findings indicate that there exists a clear association between entry grades and student retention for part-time students, which may aid policy makers, academics, university staff, and higher education stakeholders to develop appropriate strategies to address attrition levels. ",Social Sciences & Humanities,0.021,-0.009,-0.007,-0.02,-0.033,-0.008
422,"Subsequent to the decades of research and business advancement in sustainable development, the importance of sustainability is undoubtful; however, existing paths toward it are not yet sufficient. Correspondingly, innovation has recently emerged as a persuasive means to enhance sustainability. As with all conventional innovations, the integration of broad and diverse actors in innovation projects aimed particularly at sustainable development is essential, but it is argued to require reconciliation, owing to the peculiarities of the sustainability context. The innovation literature (particularly the Open Innovation stream) extensively investigates and is able to provide us with businesses’ capabilities for integrating external actors for conventional innovation projects. Elaborated from the literature, we identify and conceptualize four capabilities as bundles of open conventional innovation capability – namely, networking, competence mapping, relational, and desorptive capabilities. Starting from the conceptual framework of open conventional innovation capabilities, eight innovation projects aimed particularly at sustainability with diverse and broad actors were used as an empirical context for qualitative, multiple-case studies. The results suggest that open sustainability-oriented innovation capabilities conform to the open conventional innovation capability framework; however, the capabilities must be reconciled with the particular sustainability context. In particular, the results suggest that desorptive capability (the ability of aligning/empowering internals for external acquirements) requires particular and strong reconciliation with the sustainability context, whereas the required reconciliation of networking, competence mapping and relational capabilities strongly depends on the outcome characteristics. In this regard, the findings reveal that for innovations to develop a sustainable product-service system that would dramatically change existing systems and consumers’ lifestyles, capability reconciliation is required for all key partners of the project. On the other hand, for innovations to develop a sustainable product or service, established open conventional innovation capabilities can be used. ",Social Sciences & Humanities,0.037,-0.029,0.008,-0.008,-0.056,0.009
423,"Supply chain disintegration is considered, due to its importance as an enabler for the management of technology innovation. This research is urgent as it is relevant to a wide range of other occurrences outside of technology innovation management, including: major policy or regulatory changes, industrial actions, economic sanctions, trade wars, trade realignment - such as Brexit, natural disasters, civil disorder and conflict, and financial crises. Disintegration is the re-alignment of partners and coordination within a supply chain to enhance customer value. This process is driven by one of more of the following: introduction of new technology or input, elimination of existing technology or input, change in customer requirements, and/or change in other external factors. The interdisciplinary nature and intellectual foundations of disintegration are considered. Finally, areas of research need are offered.",Social Sciences & Humanities,0.018,-0.006,-0.024,-0.019,0.024,0.074
424,"Sustainability and social media use in Open Innovation play important roles in a firm's new product development (NPD) process. This research examines, in conjunction, the roles of sustainability and social media driven inbound Open Innovation (SMOI) for a firm's NPD performance, and further, takes a more refined approach by differentiating between different types of SMOI activities. To this end, this research develops and tests a conceptual framework, which predicts that (1) a firm's sustainability orientation (SO) is positively associated with its NPD performance, (2) customer focus (CF) partially mediates the SO–NPD performance link, and (3) particular SMOI activities moderate the CF–NPD performance link. The empirical results, using data from the Product Development and Management Association (PDMA)'s comparative performance assessment study, provide support for most of the framework. Notably, this research documents a positive link between SO and NPD performance, as well as a partial mediating role of CF. The results further suggest that social media driven Open Innovation activities focused on gathering market insights enhance CF directly, while social media driven Open Innovation activities that garner technical expertise enhance the link between CF and NPD performance. This paper bridges the separate literatures on sustainability and Open Innovation, and contributes to the NPD research. The findings suggest that managers should take a strategic approach to sustainability and embed it in the NPD process. Furthermore, managers should manage social media based Open Innovation carefully to fully benefit the firm during the front end and back end of NPD. ",Social Sciences & Humanities,0.061,0.027,0.008,-0.043,-0.062,-0.037
425,"Sustainability oriented innovation continues to garner increasing attention as the answer to how firms may improve environmental and/or social performance while simultaneously finding competitive advantage. Radically innovating new products and services to replace harmful market incumbents is central to this thesis, yet studies to date have found it to be a highly expensive process with high degrees of uncertainty and risk. Extant research however has largely neglected to examine the details of the actual product innovation process itself and has under appreciated the influence of corporate strategic context. Our paper addresses this gap in the literature through an in-depth case study of a sustainability oriented innovation process for a radical new product within a multinational life sciences company, DSM. Our findings identify five critical organizational practices through which strategic direction has enabled the innovation process: technology super-scouting throughout the value chain, search heuristics that favor radical sustainability solutions, integration of sustainability performance metrics in product development, championing the value chain to build demand for radical sustainability oriented product innovation, and harnessing the benefits of Open Innovation. ",Social Sciences & Humanities,0.038,-0.007,-0.028,-0.037,-0.007,0.007
426,"Taking a knowledge-based approach to innovation, we distinguish between four different innovation strategies that vary in how knowledge is sourced and exploited: Open Innovation, closed innovation, outbound OI, and inbound OI. We build an agent-based simulation model to explore the competitive performance profiles and innovation creation potential of these different strategies. Our simulation research allows for modelling the micro-foundations of Open Innovation and for studying innovation strategies in different market conditions. We find that the relative financial payoffs associated with the different innovation strategies vary over time: some strategies win out in the short-term, others in the long-term. Our results also suggest that a focused closed innovation strategy can lead to higher financial performance when all the resources are concentrated on internal R&D and commercialisation. Open Innovation, and in particular the inbound side of it, is a beneficial long-term strategy, whereas closed innovation may be more profitable in the short run.  ",Social Sciences & Humanities,0.029,-0.01,0.018,0.015,-0.015,0.044
427,"Technologies like computer vision, advanced sensors, internet of things, 3D printing, big data, or artificial intelligence are penetrating all facets of the industrial value chains. Hence, industry is engaged in an accelerated automation race where industrial automation converts value chains into intelligent, data-driven systems. This generates new business models and spurs firm competitiveness in general. Companies thus pay attention to the development, acquisition, and incorporation of related technologies to profit from these developments in specific. For this, they must incorporate external flows of knowledge to succeed in innovation. Yet, there is a dearth of research that links Open Innovation to the incorporation of industrial automation, and to firm performance. Hence, this paper takes a knowledge-based view of the firm and sheds light on the moderating role of the processes of Open Innovation on the economic results of firms’ subject to automation. In order to do so, we estimate the impact of the interaction of Open Innovation and automation on firm turnover using panel data for 5287 Spanish firms from a variety of manufacture and service industries. We separate the effects for different open-innovation partners and find that turnover is increased for those automating firms that engage in Open Innovation with suppliers. These results indicate that suppliers possess the knowledge required for successful automation, and firms that innovate together with suppliers fare better at leveraging investments in automation. In addition, automating firms should exercise caution when choosing collaboration partners from the same country. ",Social Sciences & Humanities,0.06,0.094,-0.016,0.01,0.061,-0.012
428,"Teirlinck P. and Spithoven A. The spatial organization of innovation: Open Innovation, external knowledge relations and urban structure, Regional Studies. The increased use of external knowledge relations, complementary to in-house research and development, influences the way firms are organized to manage innovation. The 'new' imperative of Open Innovation promotes the idea that firms organize innovation, to a greater extent, in interaction with outside parties. This paper argues that both the organization of innovation as well as the use of external knowledge depends on the physical, socio-economic and cultural environment. The outcome of the analysis supports the idea that (open) innovation is spatially organized. Contrary to the expectations, innovative firms in less urbanized areas show a higher degree of openness.",Social Sciences & Humanities,0.032,0.025,-0.022,0.042,0.009,-0.013
429,"The aim of the work is to find relevant indicators for assessing the relationship between investments in fixed assets in agriculture, gross output of the industry, and agricultural exports using tools for modeling the impact of innovation and investment development on increasing production and export potential in the context of the formation of an export-oriented agricultural economy. The modeling methodology and the proposed estimating and forecasting tools for diagnosing and monitoring the state of sectoral and regional innovative agricultural systems are used to analyze the relationship between investments in fixed assets in agriculture, gross output of the industry, and agricultural exports based on the construction of the classification of Russian regions by factors that aggregate these features to diagnose incongruence problems and to improve institutional management in regional innovative export-oriented agrosystems. Based on the results of the factor analysis application, an underestimated role of indicators of investment in agriculture, the intensity and efficiency of agricultural production, were established. Based on the results of the cluster analysis, the established five groups of regions were identified, with significant differences in the level of investment in agriculture, the volume of production of the main types of agricultural products, and the export and exported food. The research results are of practical value for use in improving institutional management when planning reforms and transformations of regional innovative agrosystems. ",Social Sciences & Humanities,0.025,-0.027,-0.013,-0.016,-0.008,-0.009
430,"The aim of this article is to suggest a framework for examining the way national policy mixes are responding to the challenges and opportunities of globally distributed knowledge networks, cross-sectoral technology flows and consequently Open Innovation processes occurring on an international scale. We argue that the purpose of public research and innovation policy remains one of developing and sustaining territorial knowledge bases capable of growing and supporting internationally competitive industries. But the rules of the game have changed. Public policy now needs to carefully balance between: a) promoting the formation of international linkages for knowledge sourcing and information exposure; b) providing incentives for domestic industry intramural R&D for building absorptive capacity and knowledge accumulation; and c) sustaining domestic networking to allow accumulated knowledge to diffuse and recombine. ",Social Sciences & Humanities,0.021,-0.014,-0.037,0.065,0.014,0.027
431,"The aim of this paper is to explore Open Innovation implementation and its impact on firm innovation performance in sectors experiencing technological discontinuities. The paper employs the framework of inbound, outbound and coupled OI to identify processes reflecting sourcing, externalising and exchanging knowledge across organisational boundaries on upstream and downstream innovation activities and explores their impact on the innovation performance of new and established technology firms. The empirical setting is the UK bio-pharmaceuticals sector during 1991 and 2001, a paradigmatic era of discontinous change and intensified OI implementation. First, our findings show that new technology firms (NTFs) and established technology firms (ETFs) differ in their extent and patterns of inbound, outbound and coupled OI, reflecting that they implement OI to manage their competences in light of technological change. Second, we identify a complex and multifaceted relationship between OI and patenting performance, with NTFs experiencing enhanced performance from some OI processes while ETFs experiencing challenges. The paper suggests that delineating OI into inbound, outbound and coupled, along upstream and downstream activities, offers a deeper understanding of the role of OI in innovation, guiding selective implementation in pursuing enhanced innovation performance during periods of discontinuous technological change. ",Social Sciences & Humanities,0.055,0.018,0.115,-0.006,0.023,0.071
432,"The aim of this research is twofold: first, to identify Open Innovation configurations, and second, to analyze which configurations are associated with a high, and which with a low, OI performance. Using a configurational approach (involving complementarity and equifinality), we propose that firms use different OI configurations, by combining three openness practices (high number of alliances, partner diversity, and external R&D) and four complementary organizational assets (human capital, alliance coordination capabilities, inter-organizational learning capabilities, and patenting orientation), and that such configurations affect OI performance. We conducted a survey study on the Spanish biotech industry. A sample of 75 companies was analyzed using fuzzy-set qualitative comparative analysis (fsQCA). The results revealed seven high-performing configurations and six low-performing configurations. Configurations combining one or more OI practices and complementary organizational assets achieved a high OI performance, while open configurations lacking the necessary organizational assets were not successful. Closed configurations also performed poorly. The theoretical and managerial implications are discussed. ",Social Sciences & Humanities,0.037,-0.018,0.08,-0.005,-0.025,0.016
433,"The aim of this research paper is to depict the level of satisfaction and importance of Full expressions Micro, Small & Medium Enterprises’ (MSMEs)’ human resources (HR) and the tourism sector community in East Java. The research was conducted on all aspects of HR in tourism sector MSMEs, among foreign and domestic tourists in East Java. The research is a quantitative and descriptive one. Primary data are used. The population of the research is HR in tourism sector MSMEs as well as domestic and foreign tourists. The sampling technique used is purposive sampling. Ten cities of high tourism potential were chosen. Determination of the sample size used the minimum criteria of a structural model that is between 100 and 200 units. In total, 200 tourism sector MSMEs were determined from ten tourism cities in East Java. From every tourism sector MSMEs, four employees and three tourists were taken. As a result, the entire research consisted of 800 employees and 600 foreign and domestic tourists. Importance performance analysis (IPA) was utilized as an analysis tool in this paper. The result indicated that each tourism resort, being a sample, has different findings. Batu City demonstrates a lack of transglobal leadership (TL). Malang, Kediri, and Blitar City demonstrate organizational citizenship behavior (OCB). Malang City lacks employment engagement (EE). Meanwhile, Pasuruan City and Blitar Regency are about human resources performance (HRP). For Pasuruan Regency, the variable of quality of work life (QWL) should be improved. For Sidoarjo Regency, sustainable tourism competitiveness (STC) should be paid attention. For Kediri City, the main variable that needs to be enriched is responsible marketing (RM). Overall, for the East Java region, the main variable that needs to be improved is RM. The findings obtained constitute a practical contribution for main tourism stakeholders to formulate relevant policies to cope with problems. ",Social Sciences & Humanities,0.034,-0.046,-0.018,-0.031,-0.029,-0.023
434,"The article aims at investigating the commonalities and differences between cluster policies in selected East Asian and Southeast Asian countries: Thailand, Singapore, South Korea, and China, to outline the Asian model of a cluster policy. Clusters play a significant role in the economic development of these countries, and some practical experiences from Asia may be used to shape the cluster policy in the recovery process after the COVID-19 pandemic. The conducted research contributes to a better understanding of the cluster formation process, cluster development, and policy aims in the analyzed countries. In Singapore and South Korea, which are among the most innovative countries in the global economy, cluster policy is to a great extent part of innovation policy, focusing on facilitating the networking and cooperation between science and business, the flow of knowledge, transfer of technology, and developing innovative technologies of key economic importance. In China and Thailand, which are developing countries, there is a much stronger role of foreign direct investments, which take the central place in the cluster structure. However, one common characteristic of cluster development patterns in all the analyzed countries is a top-down approach, where clusters are emerging and developing mostly as a result of governmental decisions and public programs. ",Social Sciences & Humanities,0.026,-0.027,-0.034,-0.02,0.028,0.026
